customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureGroups,IsMonthly,IsSingle,TotalServices,AvgMonthlyCharge,ChargeDiff
CUST00001,Male,0,0,1,3.0,1,Yes,No,0,0,0,0,0,0,Monthly,0,Mailed check,68.61,205.83,Yes,0-1,1,0,0,68.61,0.0
CUST00002,Male,1,1,0,2.0,1,Yes,DSL,0,0,0,1,0,0,One year,1,Bank transfer (automatic),23.15,46.3,No,0-1,0,0,1,23.15,0.0
CUST00003,Female,0,0,0,42.0,1,Yes,DSL,0,1,0,0,1,1,Monthly,0,Electronic check,42.63,1790.46,Yes,2-4,1,0,3,42.63,0.0
CUST00004,Female,0,0,1,40.0,1,Yes,Fiber optic,0,0,1,0,0,0,Monthly,0,Electronic check,75.04,3001.6,No,2-4,1,0,1,75.03999999999999,1.4210854715202004e-14
CUST00005,Male,1,1,1,17.0,1,Yes,Fiber optic,1,0,1,0,0,0,Two year,1,Electronic check,22.38,380.46,Yes,1-2,0,1,2,22.38,0.0
CUST00006,Male,0,1,0,18.0,1,No,Fiber optic,0,0,0,1,0,0,One year,0,Electronic check,37.23,670.14,Yes,1-2,0,0,1,37.23,0.0
CUST00007,Female,0,0,0,25.0,1,Yes,No,0,0,0,0,0,0,One year,1,Mailed check,67.47,1686.75,No,2-4,0,0,0,67.47,0.0
CUST00008,Female,0,1,0,33.0,1,Yes,Fiber optic,0,0,0,0,0,0,Two year,0,Electronic check,76.3,2517.9,No,2-4,0,0,0,76.3,0.0
CUST00009,Female,0,1,0,6.0,1,Yes,DSL,1,0,0,0,0,0,Monthly,0,Electronic check,64.86,389.16,No,0-1,1,0,1,64.86,0.0
CUST00011,Female,0,0,0,18.0,1,No,No,0,0,0,0,0,0,One year,0,Electronic check,49.17,885.06,No,1-2,0,0,0,49.169999999999995,7.105427357601002e-15
CUST00012,Male,0,1,0,22.0,1,No,No,0,0,0,0,0,0,Monthly,1,Mailed check,23.2,510.4,Yes,1-2,1,0,0,23.2,0.0
CUST00013,Female,1,1,0,10.0,1,Yes,DSL,0,0,0,1,0,0,Monthly,1,Electronic check,34.57,345.7,No,0-1,1,0,1,34.57,0.0
CUST00014,Male,0,1,0,2.0,1,Yes,Fiber optic,0,0,0,0,0,0,Monthly,1,Electronic check,48.36,96.72,Yes,0-1,1,0,0,48.36,0.0
CUST00015,Male,0,1,0,8.0,1,Yes,Fiber optic,1,0,1,0,0,0,Two year,0,Credit card (automatic),53.36,426.88,No,0-1,0,0,2,53.36,0.0
CUST00016,Female,0,0,0,5.0,0,No phone service,Fiber optic,1,0,1,1,0,0,One year,0,Credit card (automatic),39.14,195.7,No,0-1,0,0,3,39.14,0.0
CUST00017,Female,0,1,0,47.0,1,Yes,No,0,0,0,0,0,0,One year,1,Bank transfer (automatic),38.42,1805.74,No,2-4,0,0,0,38.42,0.0
CUST00018,Female,0,1,0,28.0,1,Yes,No,0,0,0,0,0,0,Two year,0,Electronic check,99.53,2786.84,No,2-4,0,0,0,99.53,0.0
CUST00019,Female,0,1,0,44.0,1,No,DSL,0,0,0,0,1,0,One year,0,Electronic check,22.64,996.16,No,2-4,0,0,1,22.64,0.0
CUST00020,Male,0,1,1,12.0,1,No,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),117.22,1406.64,No,0-1,0,1,0,117.22000000000001,-1.4210854715202004e-14
CUST00022,Female,0,0,0,38.0,1,Yes,No,0,0,0,0,0,0,Monthly,0,Mailed check,61.27,2328.26,Yes,2-4,1,0,0,61.27,0.0
CUST00023,Male,0,1,0,21.0,1,Yes,Fiber optic,1,0,0,1,0,0,Two year,1,Bank transfer (automatic),36.96,776.16,Yes,1-2,0,0,2,36.96,0.0
CUST00024,Male,0,0,0,4.0,1,Yes,DSL,1,0,0,1,1,0,Monthly,0,Bank transfer (automatic),42.01,168.04,No,0-1,1,0,3,42.01,0.0
CUST00026,Male,1,0,0,29.0,1,Yes,DSL,1,0,0,0,0,1,One year,1,Electronic check,111.0,3219.0,No,2-4,0,0,2,111.0,0.0
CUST00027,Male,0,0,0,5.0,1,Yes,No,0,0,0,0,0,0,Two year,1,Mailed check,43.36,216.8,No,0-1,0,0,0,43.36,0.0
CUST00028,Female,0,0,0,51.0,1,No,Fiber optic,0,0,0,0,1,0,Monthly,0,Mailed check,100.42,5121.42,Yes,4-6,1,0,1,100.42,0.0
CUST00029,Female,0,0,0,15.0,1,Yes,Fiber optic,0,0,0,0,0,0,Monthly,1,Mailed check,68.06,1020.9,Yes,1-2,1,0,0,68.06,0.0
CUST00030,Male,0,1,0,10.0,1,No,Fiber optic,1,0,1,0,0,0,Two year,0,Mailed check,115.47,1154.7,No,0-1,0,0,2,115.47,0.0
CUST00031,Female,1,0,0,9.0,1,No,DSL,0,0,0,0,0,0,One year,0,Mailed check,24.62,221.58,No,0-1,0,0,0,24.62,0.0
CUST00032,Male,0,0,0,23.0,1,No phone service,Fiber optic,0,0,0,0,0,1,Monthly,1,Credit card (automatic),49.92,1148.16,Yes,1-2,1,0,1,49.92,0.0
CUST00033,Female,0,0,1,43.0,1,Yes,Fiber optic,0,0,0,0,0,1,Monthly,0,Mailed check,77.96,3352.28,Yes,2-4,1,0,1,77.96000000000001,-1.4210854715202004e-14
CUST00034,Male,1,1,0,34.0,1,Yes,No,0,0,0,0,0,0,Monthly,1,Electronic check,21.07,716.38,Yes,2-4,1,0,0,21.07,0.0
CUST00035,Female,0,0,1,6.0,1,No,DSL,0,0,1,0,0,1,Monthly,0,Electronic check,99.14,594.84,Yes,0-1,1,0,2,99.14,0.0
CUST00036,Female,0,0,1,31.0,1,Yes,No,0,0,0,0,0,0,Monthly,0,Electronic check,85.96,2664.76,Yes,2-4,1,0,0,85.96000000000001,-1.4210854715202004e-14
CUST00037,Male,0,1,1,31.0,1,Yes,Fiber optic,0,0,0,1,1,0,Two year,0,Electronic check,45.99,1425.69,No,2-4,0,1,2,45.99,0.0
CUST00038,Female,0,1,1,19.0,1,No,DSL,0,0,0,0,0,0,Two year,1,Electronic check,23.12,439.28,No,1-2,0,1,0,23.119999999999997,3.552713678800501e-15
CUST00039,Male,0,0,0,45.0,1,Yes,No,0,0,0,0,0,0,Monthly,0,Bank transfer (automatic),37.07,1668.15,Yes,2-4,1,0,0,37.07,0.0
CUST00040,Male,0,0,1,29.0,1,No,DSL,0,0,0,1,0,0,Two year,0,Mailed check,35.99,1043.71,No,2-4,0,0,1,35.99,0.0
CUST00041,Female,0,1,1,17.0,1,No,Fiber optic,0,1,0,0,0,0,Monthly,0,Electronic check,117.44,1996.48,Yes,1-2,1,1,1,117.44,0.0
CUST00043,Female,0,1,1,2.0,1,Yes,Fiber optic,0,0,0,0,1,1,One year,1,Mailed check,44.4,88.8,No,0-1,0,1,2,44.4,0.0
CUST00044,Female,0,0,0,42.0,1,Yes,No,0,0,0,0,0,0,Monthly,1,Bank transfer (automatic),18.33,769.86,Yes,2-4,1,0,0,18.330000000000002,-3.552713678800501e-15
CUST00045,Female,0,0,0,29.0,1,No,Fiber optic,1,1,0,0,0,0,Two year,0,Mailed check,50.0,1450.0,No,2-4,0,0,2,50.0,0.0
CUST00046,Female,0,0,0,8.0,1,Yes,DSL,0,1,1,0,1,0,Monthly,1,Mailed check,48.06,384.48,Yes,0-1,1,0,3,48.06,0.0
CUST00047,Female,0,0,1,7.0,1,Yes,No,0,0,0,0,0,0,Monthly,1,Bank transfer (automatic),102.27,715.89,Yes,0-1,1,0,0,102.27,0.0
CUST00048,Female,0,0,1,17.0,1,No,Fiber optic,0,1,0,0,1,0,Monthly,0,Mailed check,96.78,1645.26,No,1-2,1,0,2,96.78,0.0
CUST00049,Male,0,1,1,25.0,1,Yes,No,0,0,0,0,0,0,One year,1,Electronic check,20.99,524.75,No,2-4,0,1,0,20.99,0.0
CUST00050,Male,0,0,1,16.0,1,No,Fiber optic,0,0,1,0,1,0,One year,0,Mailed check,79.64,1274.24,No,1-2,0,0,2,79.64,0.0
CUST00051,Female,0,0,1,2.0,1,Yes,DSL,0,0,0,0,0,0,Monthly,0,Bank transfer (automatic),30.05,60.1,No,0-1,1,0,0,30.05,0.0
